,Source,Destination,TravelTimeInMin
273,AIRPORT,BANASWADI,77
274,BANASWADI,DEVANAHALLI,79
275,DEVANAHALLI,BANASWADI,79
276,BANASWADI,HEBBAL,52
277,HEBBAL,BANASWADI,52
278,BANASWADI,THANISANDRA,50
279,THANISANDRA,BANASWADI,50
280,BANASWADI,YELAHANKA,72
281,YELAHANKA,BANASWADI,72
282,BANASWADI,AREKERE,92
283,AREKERE,BANASWADI,92
284,BANASWADI,BANASHANKARI,87
285,BANASHANKARI,BANASWADI,87
286,BANASWADI,BELLANDUR,67
287,BELLANDUR,BANASWADI,67
288,BANASWADI,BILEKAHALLI,85
289,BILEKAHALLI,BANASWADI,85
290,BANASWADI,BOMMANAHALLI,80
291,BOMMANAHALLI,BANASWADI,80
292,BANASWADI,BOMMASANDRA,91
293,BOMMASANDRA,BANASWADI,91
294,BANASWADI,BTM LAYOUT,82
295,BTM LAYOUT,BANASWADI,82
296,BANASWADI,CHOODASANDRA,77
297,CHOODASANDRA,BANASWADI,77
298,BANASWADI,DOMLUR,58
299,DOMLUR,BANASWADI,58
300,BANASWADI,ELECTRONIC CITY,89
301,ELECTRONIC CITY,BANASWADI,89
302,BANASWADI,HARALUR,73
303,HARALUR,BANASWADI,73
304,BANASWADI,J. P. NAGAR,98
305,J. P. NAGAR,BANASWADI,98
306,BANASWADI,JAYANAGAR,78
307,JAYANAGAR,BANASWADI,78
308,BANASWADI,KAIKONDRAHALLI,68
309,KAIKONDRAHALLI,BANASWADI,68
310,BANASWADI,KASAVANAHALLI,72
311,KASAVANAHALLI,BANASWADI,72
312,BANASWADI,RR NAGAR,90
313,RR NAGAR,BANASWADI,90
314,BANASWADI,S.G. PALYA,74
315,S.G. PALYA,BANASWADI,74
316,BANASWADI,BALAGERE,69
317,BALAGERE,BANASWADI,69
318,BANASWADI,KADUGODI,72
319,KADUGODI,BANASWADI,72
320,BANASWADI,MATHIKERE,61
321,MATHIKERE,BANASWADI,61
322,BANASWADI,RAJAJINAGAR,67
323,RAJAJINAGAR,BANASWADI,67
324,BANASWADI,VIDYARANYAPURA,62
325,VIDYARANYAPURA,BANASWADI,62
326,BANASWADI,VIJAYANAGAR,77
327,VIJAYANAGAR,BANASWADI,77
328,BANASWADI,YESWANTHPUR,63
329,YESWANTHPUR,BANASWADI,63
330,EJIPURA,INDIRANAGAR,48
331,INDIRANAGAR,EJIPURA,48
332,EJIPURA,KORAMANGALA,45
333,KORAMANGALA,EJIPURA,45
334,EJIPURA,SHANTI NAGAR,50
335,SHANTI NAGAR,EJIPURA,50
336,EJIPURA,AKSHAYANAGAR,67
337,AKSHAYANAGAR,EJIPURA,67
338,EJIPURA,BHOGANHALLI,65
339,BHOGANHALLI,EJIPURA,65
340,EJIPURA,BROOKEFIELD,77
341,BROOKEFIELD,EJIPURA,77
342,EJIPURA,C V RAMAN NAGAR,57
343,C V RAMAN NAGAR,EJIPURA,57
344,EJIPURA,CHINNAPANNA HALLI,64
345,CHINNAPANNA HALLI,EJIPURA,64
346,EJIPURA,DODDAKANNELLI,61
347,DODDAKANNELLI,EJIPURA,61
348,EJIPURA,DODDANEKKUNDI,65
349,DODDANEKKUNDI,EJIPURA,65
350,EJIPURA,GUNJUR VILLAGE,79
351,GUNJUR VILLAGE,EJIPURA,79
352,EJIPURA,HOODI,75
353,HOODI,EJIPURA,75
354,EJIPURA,HSR LAYOUT,51
355,HSR LAYOUT,EJIPURA,51
356,EJIPURA,KADUBEESANAHALLI,60
357,KADUBEESANAHALLI,EJIPURA,60
358,EJIPURA,KAGGADASAPURA,55
359,KAGGADASAPURA,EJIPURA,55
